ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCLHTPO23N000000552,장소,유적지,8269337,낙화암,,,60603,유명사적/유적지,4476025031106780002,충청남도,부여군,부여읍,쌍북리,678-2,4476025031,4476025000,447603259083,부소로,31-6,126.91226007575,36.2922003586559,다바472107,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000553,장소,유적지,8269339,남고문,,,60606,비/탑/문/각,4617012000102840012,전라남도,나주시,남외동,,284-12,4617012000,4617054000,,,,126.720339684898,35.0294142191895,다라288707,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000554,장소,유적지,8269341,남규박선생유적,,,60603,유명사적/유적지,4471033023106310019,충청남도,금산군,부리면,관천리,631-19,4471033023,4471033000,,,,127.531131828303,36.0670682252641,라마028855,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000555,장소,유적지,8269343,진도남도진성,,,60603,유명사적/유적지,4690034032102200001,전라남도,진도군,임회면,남동리,220-1,4690034032,4690034000,,,,126.165393857416,34.3641614262817,나다772975,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000556,장소,유적지,8269344,남사고유적지,,,60603,유명사적/유적지,4793033024102530004,경상북도,울진군,근남면,수곡리,253-4,4793033024,4793033000,,,,129.360431518041,36.9559378175964,마바656857,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000557,장소,유적지,8269345,남산봉수대,,,60603,유명사적/유적지,1114014200100080001,서울특별시,중구,예장동,,8-1,1114014200,1114057000,,,,126.987515374563,37.5520316865122,다사547504,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000558,장소,유적지,8269346,남양성모성지,,,60603,유명사적/유적지,4159026221117080001,경기도,화성시,남양읍,남양리,1708-1,4159026221,4159026200,,,,126.816907760358,37.2045032805466,다사393119,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000559,장소,유적지,8269348,남이장군묘,,,60603,유명사적/유적지,5111040030101980000,강원특별자치도,춘천시,남산면,방하리,198,5111040030,5111040000,,,,127.526399154792,37.7953970378535,라사023773,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000560,장소,유적지,8269349,남한산성성지,,,60603,유명사적/유적지,4161037021104460000,경기도,광주시,남한산성면,산성리,446,4161037021,4161037000,416103211029,남한산성로,763-58,127.185887175349,37.4772055378663,다사722420,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000561,장소,유적지,8269350,권충재관계유적,,,60603,유명사적/유적지,4792025023109630000,경상북도,봉화군,봉화읍,유곡리,963,4792025023,4792025000,479204772349,충재길,42,128.74295105411,36.9045895296184,마바107791,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000562,장소,유적지,8269351,노동당사,,,60603,유명사적/유적지,5178025022100030005,강원특별자치도,철원군,철원읍,관전리,3-5,5178025022,5178025000,517803230004,금강산로,265,127.201992442942,38.2552140556472,다아739283,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000563,장소,유적지,8269353,노동동고분군,,,60603,유명사적/유적지,4713010600102610000,경상북도,경주시,노동동,,261,4713010600,4713051500,,,,129.210641280261,35.8412680618369,마마544618,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000564,장소,유적지,8269355,노동동굴,,,60603,유명사적/유적지,4380025031200740000,충청북도,단양군,단양읍,노동리,산74,4380025031,4380025000,,,,128.381796909573,36.9529740139321,라바785842,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000565,장소,유적지,8269357,노서동고분군,,,60603,유명사적/유적지,4713010700101860000,경상북도,경주시,노서동,,186,4713010700,4713051500,,,,129.208514544167,35.8405051029523,마마543617,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000566,장소,유적지,8269359,노은정,,,60603,유명사적/유적지,4413136024103150002,충청남도,천안시 동남구,병천면,도원리,315-2,4413136024,4413136000,,,,127.318094556724,36.7859723964091,다바837653,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000567,장소,유적지,8269361,논개사당,,,60603,유명사적/유적지,4574025027200030001,전라북도,장수군,장수읍,두산리,산3-1,4574025027,4574025000,457404628053,논개사당길,41,127.522678444335,35.6440441890042,라마020386,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000568,장소,유적지,8269362,논개사당,,,60603,유명사적/유적지,4817010500105000010,경상남도,진주시,본성동,,500-10,4817010500,4817055500,,,,128.081502434394,35.1894580234491,라라529883,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000569,장소,유적지,8269365,정약용유적지,,,60603,유명사적/유적지,4136036021100920002,경기도,남양주시,조안면,능내리,92-2,4136036021,4136036000,,,,127.299559060056,37.5165834970016,다사822463,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000570,장소,유적지,8269366,다산초당성지,,,60603,유명사적/유적지,4681034026201030003,전라남도,강진군,도암면,만덕리,산103-3,4681034026,4681034000,,,,126.744330300644,34.5811630217608,다라306210,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000571,장소,유적지,8269368,단군전,,,60603,유명사적/유적지,4374525021103870000,충청북도,증평군,증평읍,증평리,387,4374525021,4374525000,437454532024,단군전길,13,127.583688853482,36.7811741389646,라바074647,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000572,장소,유적지,8269369,단군전,,,60603,유명사적/유적지,4672025022100990002,전라남도,곡성군,곡성읍,학정리,99-2,4672025022,4672025000,,,,127.293050502507,35.2877918656184,다라811991,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000573,장소,유적지,8269370,천주교단내성지,,,60603,유명사적/유적지,4150033024103560000,경기도,이천시,호법면,단천리,356,4150033024,4150033000,,,,127.394973124898,37.2199801219635,다사906134,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000574,장소,유적지,8269371,신채호선생사당,,,60603,유명사적/유적지,4311131022103050000,충청북도,청주시 상당구,낭성면,귀래리,305,4311131022,4311131000,431114520100,귀래길,249,127.620168264376,36.6361627277409,라바107487,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000575,장소,유적지,8269372,근화동당간지주,,,60605,보물,5111011700107930001,강원특별자치도,춘천시,근화동,,793-1,5111011700,5111057000,,,,127.721690023718,37.8920521271749,라사194880,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000576,장소,유적지,8269373,당포성지,,,60603,유명사적/유적지,4822025025102440000,경상남도,통영시,산양읍,삼덕리,244,4822025025,4822025000,,,,128.3847160257,34.7931889075229,라라809446,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000577,장소,유적지,8269376,대곡고분,,,60603,유명사적/유적지,4713025621200150000,경상북도,경주시,건천읍,대곡리,산15,4713025621,4713025600,,,,129.128006936793,35.8489499747269,마마470626,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000578,장소,유적지,8269378,성모당성지,,,60603,유명사적/유적지,2711015600102250001,대구광역시,중구,남산동,,225-1,2711015600,2711066000,271104223039,남산로4길,112,128.587207323444,35.8607324625906,라마981632,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000579,장소,유적지,8269379,대농리미륵,,,60603,유명사적/유적지,4155012300100340000,경기도,안성시,사곡동,,34,4155012300,4155053000,415504424677,태평무길,48-11,127.267077311101,37.0370160919399,다바792931,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000580,장소,유적지,8269380,대소산봉수대,,,60603,유명사적/유적지,4777035035200200000,경상북도,영덕군,축산면,도곡리,산20,4777035035,4777035000,,,,129.431896038579,36.5180754069687,마바729373,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000581,장소,유적지,8269381,대승리성지,,,60603,유명사적/유적지,4571034028200390000,전라북도,완주군,소양면,신원리,산39,4571034028,4571034000,,,,127.295830290918,35.8608279636537,다마815627,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000582,장소,유적지,8269382,대정성지,,,60603,유명사적/유적지,5013025028100100000,제주특별자치도,서귀포시,대정읍,동일리,10,5013025028,5013025000,,,,126.261100285459,33.2541392131021,나나845743,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000583,장소,유적지,8269383,공석순사적지려,,,60603,유명사적/유적지,4888034024119690000,경상남도,거창군,북상면,월성리,1969,4888034024,4888034000,,,,127.71843185408,35.7699779986913,라마197526,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000584,장소,유적지,8269384,덕진진,,,60603,유명사적/유적지,2871032028103430000,인천광역시,강화군,불은면,덕성리,343,2871032028,2871032000,,,,126.524370946608,37.649298387102,다사139615,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000585,장소,유적지,8269386,덕천군사우,,,60603,유명사적/유적지,3611035034101010000,세종특별자치시,,장군면,태산리,101,3611035034,3611035000,361104554195,태산길,99,127.19267167978,36.5519235292083,다바724393,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000586,장소,유적지,8269387,덕포진,,,60603,유명사적/유적지,4157034032200990000,경기도,김포시,대곶면,신안리,산99,4157034032,4157034000,415704427203,덕포진로103번길,130,126.537032647575,37.6502661567358,다사150616,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000587,장소,유적지,8269388,해병대전투전적지,,,60603,유명사적/유적지,5180034026106220000,강원특별자치도,양구군,해안면,후리,622,5180034026,5180034000,518003013052,해안서화로,35,128.14562395011,38.2900655661907,라아564323,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000588,장소,유적지,8269389,만세운동유적지,,,60603,유명사적/유적지,2824512300101390001,인천광역시,계양구,장기동,,139-1,2824512300,2824571000,282454265475,황어로126번길,5,126.735320681676,37.5791746239695,다사324535,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000589,장소,유적지,8269390,독산성,,,60603,유명사적/유적지,4137011400201200001,경기도,오산시,지곶동,,산120-1,4137011400,4137055000,,,,127.019447182265,37.1833518300337,다사573095,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000590,장소,유적지,8269391,돌염전,,,60603,유명사적/유적지,5011014000104490010,제주특별자치도,제주시,내도동,,449-10,5011014000,5011067000,,,,126.446587772523,33.4980636858689,다다021011,20240104,KT,KC_507_LLR_HISTST_2023,20231220
KCLHTPO23N000000591,장소,유적지,8269392,동강사당,,,60603,유명사적/유적지,4773034033104350000,경상북도,의성군,사곡면,오상리,435,4773034033,4773034000,477304745497,치선오상길,639-15,128.749432858117,36.3198171768543,마바121143,20240104,KT,KC_507_LLR_HISTST_2023,20231220
